sentence	label
citizen states there a pothole at this intersection that needs repair..........FOR TRAINING PURPOSES PLEASE DISREGARD	Potholes
test for training purpose please disregard	Potholes
citizen states there is a pothole at this intersection that needs repair.**for training purpose please disreguard	Potholes
A dead tree has fallen on the side walk.
Its been there for 3 weeks. the tree is approximately 15 ft. long. Please have it removed.	Other
tree roots and tree grate pushing up bricks in sidewalk - create tripping hazard	Other
	Non-functioning Street Lights
There's a completely dead tree at the corner of Stuart and Antrim adjacent to my house at 4117 Stuart.  It has been dead for several months, and we notified the City by phone about six weeks ago.  Can you please come confirm it's dead and cut it down?	Other
Household junk/bulk items in alley need collection - referral from DCD - Old SCF#-57921	Trash/Bulk Pick-ups
Please pick up bulk item ( furniture)	Bulk Trash
Tree limbs and brush that have fallen during the recent storms is piled in the ally.	Trash/Bulk Pick-ups
trees obscuring traffic light, Patterson Avenue northbound before Willow Lawn Drive	Other
needs furniture picked up located in alley	Trash/Bulk Pick-ups
In back branches need to be picked up.	Trash/Bulk Pick-ups
Potholes in the Alley N. of Grove........gravel alley. Citizen stating very bad and patients and staff are complaining.	Potholes
The city was here today 1/18/2013 and replaced the pole light cover and internal workings, the light is still nonfunctional in the alley behind 4512 Stuart Ave, Richmond. VA 23211 This is very dangerous , would please replace the light bulb and have this light working as soon as possible.	Non-functioning Street Lights
Tree requested to be removed on the Sauer side of the property	Other
Approximately 16 to 20 bags of leaves, tree debris and other items need to be picked up from the alley of this residence.	Trash/Bulk Pick-ups
The owner of this house is dumping trash outside the fence and not into the supercan.  Some trash has been there for over 3 weeks and is attracting rodents.   Also, the backyard is very overgrown.	Trash/Bulk Pick-ups
pe email - street lamp not working at the alley between Commonwealth Ave. and Woodlawn hehind my house at 4414 Hanover Ave. It appears to be burned out, and has been for some months now.	Non-functioning Street Lights
Please pick up tree brush.	Trash/Bulk Pick-ups
From 4501 Patterson Ave to 5700 Patterson Ave westbound needs repairs and repaving. Worst road there is.	Other
There are household items for pick up in the alley behind this address.	Illegal Dumping
Cut branches/brush for pick-up	Trash/Bulk Pick-ups
Out of date inspection vehicle on street. Blue taurus. In front of home. Uncared for.	Abandoned Cars
Citizen states that the storm caused tree limbs to fall in front of his residence as well as across the street from this residence.	Trash/Bulk Pick-ups
CITIZEN STATING THAT IN ALLEY BEHIND THIS ADDRESS THERE IS BEDROOM FURNITURE AND MAY BE OTHER MISC. ITEMS THAT NEEDS TO BE PICKED UP.	Trash/Bulk Pick-ups
Well over 12" high	Overgrown Lots
Please pick up tree brush.	Trash/Bulk Pick-ups
Tree Limbs in alley behind 618 N 35th St	Trash/Bulk Pick-ups
Street sign corner Marshall & Chimborazo	Other
One couch one punching bag in the alley	Bulk Trash
citizen would like for large t.v to be removed from front of residence	Trash/Bulk Pick-ups
Customer requst dresser, wall unit and chair to be picked up.	Trash/Bulk Pick-ups
citizen would like for bags of tree debry and bags of trash to be picked up in front of residence.	Trash/Bulk Pick-ups
Have a number of branches that were removed from a tree that need to be picked up. Right at the crossing of the two alleys behind the house (next to trash cans).	Bulk Trash
old furniture left out in a vacant lot please pick up	Trash/Bulk Pick-ups
I have a pile branches in the street  and hope the city can pick it up.	Trash/Bulk Pick-ups
bulk items in alley for pick up	Trash/Bulk Pick-ups
Please remove the trash at the rear of the property.	Trash/Bulk Pick-ups
White trailer abandoned on E Clay St beside 425 N 33rd St	Abandoned Cars
property owner continues to dump trash items on the property as well as in back alley behind this address this is a eye sore to the neighborhood please address this matter	Illegal Dumping
citizen reported uncut / overgrowth of grass/bushes and trees on private property that is vacant.	Overgrown Lots
Wood and brush left by Dominion Power from a storm in June needs to be removed. One of your city workers came out to fetch the wood, but reported it as being building materials (it is not building materials). The wood was neatly placed behind 3400 E. Broad ST. in the alley, and needs to be fetched. This is the third time for this report...can someone please come  and fetch this wood.
Thanks,	Trash/Bulk Pick-ups
Grass and weeds are overgrown in back, electrical line loose from building, trash in yard, pile of refuse posing as a "compost bin" with no proper container to protect against animals is attracting opossums and other wild animals. Photo of electrical issue attached as it's doubtful the city will repair but Dominion may care.	Overgrown Lots
The lightpole in the middle of the park has been dark for weeks.  Please fix, that side of the park gets a little scary at night time being so dark!	Non-functioning Street Lights
limbs in the front of the yard	Trash/Bulk Pick-ups
Needs pickup of yard waste and limbs; located in the front of the property	Trash/Bulk Pick-ups
furniture, computer bookcases, toilet,	Trash/Bulk Pick-ups
Please pick up tree brush	Trash/Bulk Pick-ups
please pickup bulk items	Bulk Trash
Citizen requests to have old clothes and other items (bagged) to be removed from the front of this residence.	Trash/Bulk Pick-ups
The Driveway drainage pipe is 90% blocked and needs cleaning	Other
About 10 inches deep, Very dangerous	Potholes
Reported 2 weeks and was informed today that it cannot be fixed for  2 weeks	Potholes
REQUESTING TO HAVE YARD DEBRIS AND OLD TIN ROOF PICKED UP IN FRONT.	Trash/Bulk Pick-ups
Please pick up bulk items in the front ( bags)	Bulk Trash
yard debris & limbs in front of home	Trash/Bulk Pick-ups
REBECCA SHRINER 323-3222 NEEDS SEVERAL OLD CABINETS PKD UP.	Trash/Bulk Pick-ups
citizens is requesting bulk pick up of board from the deck.	Trash/Bulk Pick-ups
located in the front of home in the yard	Trash/Bulk Pick-ups
please pick up tree brush on side street.	Trash/Bulk Pick-ups
DECKING AND YARD DEBRIS	Trash/Bulk Pick-ups
CITIZEN REQUESTING BRUSH PICK UP	Trash/Bulk Pick-ups
Please pick up 2 chairs located in the front of this address for pick up.	Trash/Bulk Pick-ups
This homeowner does not take care of his yard and house. We live in one of the nicest neighborhoods in the city and this guys house is very embarrasing to everyone who lives around him.	Overgrown Lots
Unsafe tree branch..After the windstorm of about a week ago, I noticed this branch partially hanging over the sidewalk and the road on a good point Road It is on private property, but the house has been vacant for several years. I am concerned that the branch will break off and fall on someone. The address is right at the corner of 5 Forks Rd. and Haygood point Road in the Haygood. Neighborhood.	Other Private Property Issues
There was major flooding in this block during last weeks storm. There are storm drains here that are clogged and not draining the water.	Stormdrain Maintenance
light is burned out. Cars have been vandalized, broken in to and tampered with in this are recently. Please fix as fast as you can. Thank you.	Street Light
Wheel on trash can missing after trash pickup.	Trash Collection
This light has been out for over a year	Street Light
Hansen UNITID 01360-176 sinkholes on the sides of the structure.	Stormdrain Maintenance
Street out. It's been out for at least 18 months. Crews come and work on it and leave. Still out.	Street Light
Wind has ripped the sign loose.	Traffic Sign
	Mosquito Spraying for Neighborhood
Red Coat Ct in Lake Smith Terrace West has developed significant surface cracks and appears to have deteriorated in the past year. Is this road on the schedule for resurfacing?	Other Roadway Issues
Pothole 1 is in the middle of W Ferry Plantation at the intersection of Vineyard Lane.
Pothole 2 is located at the intersection of W Ferry Plantation and Red Coat.	Pothole
The storm drainage ditch between 4728 Little John Rd and 4733 Red Coat Rd is very overgrown and in need of clearing. Public works used to clear this ditch but has not done so for a long time. The ditch is several hundred feet long and runs from Little John Rd to Lake Smith.	Other
Street light in front of 4732 Little John Rd is inoperative.	Street Light
Public Works Traffic Operations needs to pickup the folding "HIGH WATER" sign from in front of 4737 Red Coat Rd. The sign was placed there during the flooding last week but water is no longer on the road.	Traffic Sign
The filled in pothole has broken and needs to be filed in again.  Also there are several "dips" in the road that are creating standing water which will cause additional flooding on our street which seems to be creating additional potholes and repairs.	Pothole
This was already "fixed" however do to high traffic at the location the pothole is located in front of, the fix has been destroyed and needs to b fixed again.  The pot hole is located closer to the right side of the street across from our drive way.  There is no way to avoid this when turning into our driveway.	Pothole
Grass is very high at Haygood Point Park.	Other
the NO PARKING AFTER DARK sign and post have been knocked down in front of the Haygood Point Neighborhood Park	Traffic Sign
Spilled paint just left there on streets for days now, this is a family environment and unacceptable. Also trash everywhere left behind on grounds for wild life to eat and die from. Lived here nearly 11 years now and never had this much disgraceful people just throw so much trash and not clean up after themselves. We walk our dogs down here , children, and I have been taking nature pictures here for years to come across this, OSHA would have field day.	Other Trash Issues
Broken pine tree across Mariposa Court	Other Roadway Issues
Gas in tamed	Overgrown Lots
debree located in the alley	Trash/Bulk Pick-ups
CITIZEN CALLED AND STATED THAT THERE IS A BOX SPRING IN THE ALLEY OF THIS ADDRESS THAT NEEDED TO BE PICKED UP	Trash/Bulk Pick-ups
2 dressers, plastic bins and other small furniture items to be picked up behind home at the alley.	Trash/Bulk Pick-ups
head board located in the alley	Trash/Bulk Pick-ups
furniture behind this address	Trash/Bulk Pick-ups
Citizen request pickup of headboard, toy truck and chair from alley.	Trash/Bulk Pick-ups
A CHAIR NEEDS P/U IN THE BACK OF THE ALLEY.	Trash/Bulk Pick-ups
2 couches and other items in alley behind property	Trash/Bulk Pick-ups
Boxspring & Mattresses in back of property	Trash/Bulk Pick-ups
Trees grown all over the sidewalk	Overgrown Lots
1st avenue from Magnolia to Dove - Pothole repair needed	Potholes
household items located in the front of the home.	Trash/Bulk Pick-ups
customer would like a chair picked up located in ,the front of the property	Trash/Bulk Pick-ups
	Overgrown Lots
Overgrown in attended lots on this entire block	Overgrown Lots
On 1st near this intersection	Potholes
Between 1st Ave & magnolia Street (Potholes) Right near the year by the school Overby Sheppard  School 2404 1st Ave. in back of Property. Between 1908 1st Ave & Althea Ave, huge pot hole	Potholes
CITIZEN HAS CALLED IN TO COMPLAIN ABOUT THE GRASS AND WEEDS IN THIS AREA NEEDS TO BE CUT.	Overgrown Lots
Please repair pothole at this location.	Potholes
There are several potholes outside the entrance to the alley between 22nd and 23rd Street on V Street	Pothole
	Overgrown Lots
Box Spring & Mattress & Limbs in alley	Trash/Bulk Pick-ups
Grass on the property is about 3' tall or so	Overgrown Lots
CITIZEN IS REQUESTING A LARGE PILE OF  BRUSH A ARMOIRE AND A DESK LOCATED IN THE ALLEY	Trash/Bulk Pick-ups
Please remove the tree limbs at the alleyway.	Trash/Bulk Pick-ups
Please pick up bulk items from this location.	Trash/Bulk Pick-ups
street light is out infront of address	Non-functioning Street Lights
pothole located in the middle of the street that needs resurfacing.	Potholes
Debris of all sorts in alley	Trash/Bulk Pick-ups
brush pickup is needed throughout the alley	Trash/Bulk Pick-ups
Caller says there is a deep sink hole by the water/gas meter	Potholes
customer needs misc furniture picked up	Trash/Bulk Pick-ups
Please pick up brush in front of house.	Trash/Bulk Pick-ups
Bulk pile	Trash/Bulk Pick-ups
CITIZEN STATES THAT IN THE BACK OF THIS AREA THERE IS A SOFA AND PILLOWS AND CHAIR THAT NEEDS TO BE PICKED UP. IT IS IN THE ALLEY AREA.	Trash/Bulk Pick-ups
Trash in the street.	Illegal Dumping
LIGHT OUT IN ALLEY	Non-functioning Street Lights
SOMEONE HAS ILLEGALLY DUMPED YARD DEBRIS BEHIND THIS LOCATION.	Illegal Dumping
wooden pallets, mattress, wooden furniture located in the rear of the property near the alley	Trash/Bulk Pick-ups
Very large and deep pothole located at the back alley of this address needs to be repaired.	Potholes
Tree Stump needs to be removed.	Other
Caller states the light in the 1400 block of Nottoway are malfunctioning; the lights go off and on	Non-functioning Street Lights
Very difficult to navigate the alley with the many overgrown weeds, trees and shrubs behind peoples properties.Most at the North end of the alley behind the business's on the East side of MacArthur.	Other
I have reported this issue numerous times and the city keeps closing this issue without completing the repairs as requested.

The alley potholes are in the paved alley on the East side, odd address side. there are at least 3-4 large potholes in the center of the alley that have NOT been repaired as requested. There is also the issue with the trees and shrubs extending into the alley at the North end that have not been trimmed back out of the alley as required by city code. Please have these taken care of ASAP.	Potholes
There are numerous potholes in this alley along with a number of areas that hold water. This is hazardous to both vehicles and people as they are breeding grounds for mosquitos	Potholes
Light out. XD13	Non-functioning Street Lights
refrigerator/trash in the alley	Trash/Bulk Pick-ups
Please pick up bulk brush items from this location in the front.	Trash/Bulk Pick-ups
There is a pothole that has been here for some time. It is at the North end of Clinton Avenue right at the cross alleys.	Potholes
Potholes up and down the street for a one block radius	Potholes
This storm drain on the corner of Nottoway and Mt. Vernon (1608 Nottoway Ave) backs up and causes flooding in the street every time it rains.
Please send a crew with a Victorian truck and correct this issue.	Other
I'm thrilled with my new little tree but am confused why it was planted next to an old stump??	Other
There's some brush and a large tree limb in the alley behind the 1500 block of Nottoway. It's off to the side of the road next to some trashcans	Bulk Trash
These are sinkholes and very deep.  ,  Very dangerous issue.   Needs attention ASAP	Potholes
There is a new pothole in the middle of the road on Nottoway Ave between MacArthur and Fauquier.  There is also a scary hole-to-nowhere type pothole at the corner of Nottoway and Laburnum which as no visible bottom.  This hole used to have a traffic cone on top of it, but is now uncovered and poses a risk to both cars and pedestrians.	Potholes
1400 block of Nottoway Ave needs consideration for being a one way street .  Facquire to McArther Ave. is too busy with McArther Ave's business growing.	Other
street light at intersection with Nottoway is a blinker.	Street Lighting
The alley behind the west side of the 4000 block of Macarthur Ave. is badly pot holed and need of grading.  Numerous businesses and residents use this alleyway daily and it has become difficult to navigate.	Other
There is a sink hole in front of Decatur's garage on MacArthur Avenue that has recently popped up.

Since this is a heavily traveled commercial area this needs to be repaired ASAP.	Potholes
Please pick up tree brush.	Trash/Bulk Pick-ups
Matresess & Box spring in front of property	Trash/Bulk Pick-ups
light out located between 5916 & 5924 Pocosham Dr	Non-functioning Street Lights
Tree fell down blocking the middle of the road	Other
YARD WASTE IN THE FRONT OF THE HOME	Trash/Bulk Pick-ups
Yard debris, breakdown of limbs	Trash/Bulk Pick-ups
this is a vacant lot with high grass.	Overgrown Lots
Citizen states the street light directly in front of 2840.these are the new bright lights, and has malfunctioned since installed. Lights up for a minute and then cuts off, all night long. Pls fix.	Non-functioning Street Lights
Leaves and yard debris located in the front of the property need to be picked up.	Trash/Bulk Pick-ups
grass tall at this address	Overgrown Lots
Citizen needs brush picked up	Trash/Bulk Pick-ups
pick up of wood and tree trimmings.	Trash/Bulk Pick-ups
michelle davis 276 7327 says light goes out at night	Non-functioning Street Lights
Please pick up mattress from this location.	Trash/Bulk Pick-ups
Street light between 5925 and 5929 Saint Moritz Dr not functioning properly	Non-functioning Street Lights
large brush and tree pile pick up in front vacant lot.	Trash/Bulk Pick-ups
Cust states large pothole in the middle of the street near the 2600 block of Geneva Dr. Intersection of St Martha & Geneva	Potholes
Cust states street light located in front of his home blinks on & off. Thinks bulb needs to be replace	Non-functioning Street Lights
light is blinking on and off	Non-functioning Street Lights
Storm debris for bulk trash pick up	Trash/Bulk Pick-ups
Trash along roadside just past Hickory Hill Center 3100 E. Belt Blvd.	Illegal Dumping
Please, the streets in this community have not been resurface in about 10 years, the streets are in need of repair.	Other
Very large and deep pothole right on the centerline going North/West. Also one further up towards the Hopkins Road exit	Potholes
Overgrown lot at this address, grass needs to be cut.	Overgrown Lots
Huge pothole in the middle of the street near this address that causes major damage to vehicles that hit it.	Potholes
Pot hole reported by communications officer @ 3000 block of Belt Boulevard	Potholes
HICKORY HILL COMMUNITY CENTER OWNED BY THE CITY IS COVERED IN POISON IVY AND THE GRASS IS OVER 12 INCHES LONG AND THE BUILDING IS NOT BEING MAINTAINED.	Overgrown Lots
Street light out at the south driveway as you exit Hickory Hill Community Center -	Non-functioning Street Lights
Street light is out at the south driveway as you exit Hickory Hill community center	Other
Shrubs need trimming,vines growing on the building needs removing.	Overgrown Lots
There is a pot hole in front of 3329 Terminal Ave.	Potholes
Citizen states this pothole damaged her vehicle	Potholes
LARGE POTHOLE AT THIS LOCATION.CALLER STATED THAT IT DAMAGED HER VEHICLE.	Potholes
2 hundred feet from intersection on Terminal and Belt Boulevard 
middle but both lanes 

Henry Artis 
8043078607	Potholes
There are three street lights burning all day on Terminal between Jefferson Davis Highway (about 3000 Jeff Davis) and Belt Blvd.	Non-functioning Street Lights
Citizens request sidewalks on Terminal and E. Belt Blvd.	Other
	Potholes
SOFA AND BOOKCASE TO BE REMOVED	Trash/Bulk Pick-ups
citizen call to report furniture and debris at this location	Trash/Bulk Pick-ups
Pot holes alone Belt Blvd	Other
driveway at the mailbox tree limbs are to the left of this mailbox.	Trash/Bulk Pick-ups
broken down trees, branches, limbs, old drum,	Trash/Bulk Pick-ups
VEGETATION OVERGROWTH IN THE RIGHT OF WAY DRAINAGE DITCH NEEDS TO BE CUT. PLEASE FOLLOWUP BY CALLING (804) 745-4612	Other
CITIZEN STATING THAT THERE IS A POTHOLE AT THE END OF HER DRIVEWAY. ON CORNER OF CLISBY & MCDOWELL	Potholes
sleepver sofa ont he corner of clisby and mcdowell	Trash/Bulk Pick-ups
requesting pothole repair at corner of clisby and mcdowell	Potholes
Sleeper Sofa	Trash/Bulk Pick-ups
Please pick up bulk brush items at this location in t he front	Bulk Trash
TREE LIMBS AND TRASH ON THE SIDE OF THE ADDRESS.	Trash/Bulk Pick-ups
2 lights out at pierpont and clisby and in front of  the middle of the 6400 block of clisby, 2 lights out.	Non-functioning Street Lights
street is in disrepair from when city dug it up for pipes.  please completet he repair	Other
several potholes need repair per customer	Potholes
Potholes from GH Reid till Warwick	Potholes
Drainage ditch was recently cut, but ditch is too rough and needs to be smooth out.  Please call 646-7955	Other
tree limb, brush,debris on the side near supercan	Trash/Bulk Pick-ups
Tree limbs on the side of this location.	Trash/Bulk Pick-ups
Couch, table, & bunk bed at the curb.	Trash/Bulk Pick-ups
please pick up tree brush in rear.	Trash/Bulk Pick-ups
High Grass on Private Property in back yard	Overgrown Lots
brush at this address	Trash/Bulk Pick-ups
Citizen states a tree fell on this house and crushed the roof. There are 2 mattresses that need to be picked up along with other trash. Glen Wilson 804-398-2255	Open and Vacant Properties
Request that code enforcement inspect exterior of home for violations.  House is in disrepair.  Backyard is being used as restroom.  Full of human excrement.	Other
Home is boarded up and littered with feral cats.  Home appears to be lived in despite being boarded up with no utilities.  Occasional squatters.	Open and Vacant Properties
Please pick up bulk brush items from this location in the alley.	Trash/Bulk Pick-ups
tree brush and limbs by fence in alley	Trash/Bulk Pick-ups
Reporting streetlight outage at property provided. Located between 1803 and 1805 Sussex St	Non-functioning Street Lights
Extra bags of trash	Trash/Bulk Pick-ups
house hold furniture, tv and other items located in the alley	Trash/Bulk Pick-ups
Requesting pick up of furniture: Sofas, Chairs, Mattresses, Located in back alley behind where trash is normally collected and is attracting rodents.	Trash/Bulk Pick-ups
